table,column,type,nullable,default,pk,fk,notes
evaluacion,precio_sugerido,"numeric(12,2)",NO,0.00,,,"Starts at 0, may change over time"
evaluacion,sesiones_sugeridas,integer,NO,1,,,Entered by professional
evaluacion,observaciones,text,YES,,,,
evaluacion,fecha,timestamptz,NO,now(),,,
oferta,id,bigserial,NO,,YES,,PK
oferta,nombre,varchar(150),NO,,,,
oferta,tipo,varchar(40),NO,,,,'pack_temporal' | 'descuento_manual' | 'combo_packs'
oferta,porc_descuento,"numeric(5,2)",YES,,,,General % if applicable
oferta,fecha_inicio,date,YES,,,,
oferta,fecha_fin,date,YES,,,,
oferta,combinable,boolean,NO,true,,,Allows stacking
oferta,activo,boolean,NO,true,,,
oferta,prioridad,integer,NO,0,,,Lower runs first
oferta_pack,id,bigserial,NO,,YES,,PK
oferta_pack,oferta_id,bigint,NO,,,oferta(id),
oferta_pack,pack_id,bigint,NO,,,pack(id),
oferta_pack,porc_descuento,"numeric(5,2)",NO,0.00,,,Override per-pack discount
oferta_combo,id,bigserial,NO,,YES,,PK
oferta_combo,oferta_id,bigint,NO,,,oferta(id),
oferta_combo,min_packs,integer,NO,2,,,Minimum packs to qualify
oferta_combo_pack,id,bigserial,NO,,YES,,PK
oferta_combo_pack,oferta_combo_id,bigint,NO,,,oferta_combo(id),Eligible packs for combo
oferta_combo_pack,pack_id,bigint,NO,,,pack(id),
venta,id,bigserial,NO,,YES,,PK
venta,ficha_id,bigint,NO,,,ficha(id),
venta,evaluacion_id,bigint,YES,,,evaluacion(id),Required if treatment demands specific form
venta,tratamiento_id,bigint,NO,,,tratamiento(id),
venta,pack_id,bigint,YES,,,pack(id),If treatment has packs
venta,cantidad_sesiones,integer,NO,1,,,Target number of sessions (y)
venta,precio_lista,"numeric(12,2)",NO,0.00,,,Before discounts
venta,descuento_manual_pct,"numeric(5,2)",YES,,,,Optional manual % discount at time of sale
venta,descuento_aplicado_total,"numeric(12,2)",NO,0.00,,,Sum of stacked discounts in currency
venta,total_pagado,"numeric(12,2)",NO,0.00,,,Final price after discounts
venta,estado,varchar(30),NO,'pendiente',,,pendiente|pagado|anulado
venta,fecha_creacion,timestamptz,NO,now(),,,
venta_oferta,id,bigserial,NO,,YES,,PK
venta_oferta,venta_id,bigint,NO,,,venta(id),Discount audit trail (order matters)
venta_oferta,oferta_id,bigint,NO,,,oferta(id),
venta_oferta,secuencia,integer,NO,0,,,Application order (discount-on-discount)
venta_oferta,porc_descuento,"numeric(5,2)",NO,0.00,,,% applied at step
venta_oferta,monto_descuento,"numeric(12,2)",NO,0.00,,,Absolute amount discounted at step
sesion,id,bigserial,NO,,YES,,PK
sesion,venta_id,bigint,NO,,,venta(id),A session belongs to a sale
sesion,numero_sesion,integer,NO,,,,Shown as x of y within a sale
sesion,sucursal_id,bigint,NO,,,sucursal(id),
sesion,box_id,bigint,NO,,,box(id),
sesion,profesional_id,bigint,NO,,,profesional(id),
sesion,fecha_planificada,timestamptz,NO,,,,Planned date/time
sesion,fecha_ejecucion,timestamptz,YES,,,,Actual execution time
sesion,estado,varchar(30),NO,'planificada',,,planificada|confirmada|realizada|no_show|cancelada
sesion,paciente_confirmado,boolean,NO,false,,,Confirmation flag once hour exists
sesion,abierta_en,timestamptz,YES,,,,Open time (start)
sesion,cerrada_en,timestamptz,YES,,,,Close time (end)
sesion,observaciones,text,YES,,,,
sucursal,-,-,-,-,-,-,-
